scientific_name,n,prop_grids_cut
Acrocephalus dumetorum,38,1
Centropus sinensis,41,1
Corvus macrorhynchos,41,1
Corvus splendens,42,1
Halcyon smyrnensis,40,1
Leptocoma zeylonica,40,1
Pericrocotus flammeus,33,1
Pycnonotus cafer,40,1
Streptopelia chinensis,39,1
Acridotheres tristis,41,0.9761904761904762
Orthotomus sutorius,40,0.975609756097561
Cinnyris asiaticus,39,0.975
Pycnonotus jocosus,37,0.9736842105263158
Psilopogon viridis,35,0.9722222222222222
Loriculus vernalis,32,0.9696969696969697
Copsychus saularis,36,0.9473684210526315
Leptocoma minima,28,0.9333333333333333
Dicrurus macrocercus,39,0.9285714285714286
Merops leschenaulti,33,0.9166666666666666
Iole indica,29,0.90625
Dinopium benghalense,35,0.8974358974358975
Oriolus kundoo,34,0.8947368421052632
Motacilla maderaspatensis,33,0.8918918918918919
Acridotheres fuscus,30,0.8823529411764706
Psittacula cyanocephala,29,0.8787878787878788
Dendrocitta vagabunda,35,0.875
Myophonus horsfieldii,28,0.875
Psilopogon haemacephalus,32,0.8648648648648649
Dicrurus leucophaeus,30,0.8571428571428571
Motacilla cinerea,30,0.8571428571428571
Gracula indica,28,0.8484848484848485
Sitta frontalis,28,0.8484848484848485
Psittacula columboides,27,0.84375
Columba livia,35,0.8333333333333334
Eudynamys scolopaceus,34,0.8292682926829268
Dicrurus paradiseus,29,0.8285714285714286
Chrysocolaptes guttacristatus,28,0.8235294117647058
Irena puella,28,0.8235294117647058
Pavo cristatus,32,0.8205128205128205
Chalcophaps indica,26,0.8125
Hierococcyx varius,29,0.8055555555555556
Aegithina tiphia,28,0.8
Pomatorhinus horsfieldii,24,0.8
Zosterops palpebrosus,23,0.7931034482758621
Oriolus xanthornus,28,0.7777777777777778
Merops orientalis,27,0.7714285714285715
Saxicola caprata,26,0.7647058823529411
Psittacula krameri,31,0.7560975609756098
Dicrurus aeneus,25,0.7352941176470589
Passer domesticus,27,0.7297297297297297
Muscicapa dauurica,24,0.7272727272727273
Pericrocotus cinnamomeus,22,0.7096774193548387
Parus cinereus,23,0.696969696969697
Terpsiphone paradisi,25,0.6944444444444444
Upupa epops,25,0.6944444444444444
Pellorneum ruficeps,22,0.6875
Cinnyris lotenius,24,0.6857142857142857
Alcippe poioicephala,21,0.6774193548387096
Cyornis tickelliae,21,0.65625
Prinia hodgsonii,20,0.6451612903225806
Pycnonotus luteolus,23,0.6388888888888888
Geokichla citrina,19,0.6333333333333333
Lanius cristatus,21,0.6176470588235294
Ocyceros griseus,18,0.6
Prinia socialis,21,0.6
Turdus simillimus,18,0.6
Yungipicus nanus,18,0.6
Treron affinis,19,0.59375
Psilopogon malabaricus,17,0.5666666666666667
Dendrocitta leucogastra,15,0.5555555555555556
Hypothymis azurea,17,0.5483870967741935
Lanius schach,16,0.5333333333333333
Hypsipetes ganeesa,15,0.5172413793103449
Copsychus fulicatus,16,0.48484848484848486
Rubigula gularis,15,0.4838709677419355
Picus xanthopygaeus,14,0.45161290322580644
Ficedula nigrorufa,9,0.42857142857142855
Montecincla fairbanki,5,0.4166666666666667
Culicicapa ceylonensis,12,0.41379310344827586
