scientific_name,n_grids
Acridotheres fuscus,34
Acridotheres tristis,42
Acrocephalus dumetorum,38
Aegithina tiphia,35
Alcippe poioicephala,31
Centropus sinensis,41
Chalcophaps indica,32
Chrysocolaptes guttacristatus,34
Cinnyris asiaticus,40
Cinnyris lotenius,35
Columba livia,42
Copsychus fulicatus,33
Copsychus saularis,38
Corvus macrorhynchos,41
Corvus splendens,42
Culicicapa ceylonensis,29
Cyornis tickelliae,32
Dendrocitta leucogastra,27
Dendrocitta vagabunda,40
Dicrurus aeneus,34
Dicrurus leucophaeus,35
Dicrurus macrocercus,42
Dicrurus paradiseus,35
Dinopium benghalense,39
Eudynamys scolopaceus,41
Ficedula nigrorufa,21
Geokichla citrina,30
Gracula indica,33
Halcyon smyrnensis,40
Hierococcyx varius,36
Hypothymis azurea,31
Hypsipetes ganeesa,29
Iole indica,32
Irena puella,34
Lanius cristatus,34
Lanius schach,30
Leptocoma minima,30
Leptocoma zeylonica,40
Loriculus vernalis,33
Merops leschenaulti,36
Merops orientalis,35
Montecincla fairbanki,12
Motacilla cinerea,35
Motacilla maderaspatensis,37
Muscicapa dauurica,33
Myophonus horsfieldii,32
Ocyceros griseus,30
Oriolus kundoo,38
Oriolus xanthornus,36
Orthotomus sutorius,41
Parus cinereus,33
Passer domesticus,37
Pavo cristatus,39
Pellorneum ruficeps,32
Pericrocotus cinnamomeus,31
Pericrocotus flammeus,33
Picus xanthopygaeus,31
Pomatorhinus horsfieldii,30
Prinia hodgsonii,31
Prinia socialis,35
Psilopogon haemacephalus,37
Psilopogon malabaricus,30
Psilopogon viridis,36
Psittacula columboides,32
Psittacula cyanocephala,33
Psittacula krameri,41
Pycnonotus cafer,40
Pycnonotus jocosus,38
Pycnonotus luteolus,36
Rubigula gularis,31
Saxicola caprata,34
Sitta frontalis,33
Streptopelia chinensis,39
Terpsiphone paradisi,36
Treron affinis,32
Turdus simillimus,30
Upupa epops,36
Yungipicus nanus,30
Zosterops palpebrosus,29
