sampling_event_identifier,nSp,totSoiSeen
S21519429,22,22
S20847497,9,9
S21522912,10,10
S20847495,6,6
S20847496,4,4
S21522775,7,7
S16785666,32,32
S20847867,39,38
S22944793,37,37
S20838108,32,32
S20838110,20,20
S80898409,30,30
S77593608,13,13
S21501491,37,37
S21502998,37,37
S21526866,21,21
S83193116,7,7
S61888870,20,20
S20847868,32,32
S20838109,20,20
S20847870,9,9
S21526726,13,13
S81170142,13,13
S20847872,11,11
S21522088,2,2
S21524963,15,15
S21526599,8,8
S20847869,2,2
S20847874,4,4
S20847871,3,3
S21526867,3,3
S37655145,3,3
S21518684,1,1
S19438756,5,5
S15916814,4,4
S20222637,2,2
S22000374,3,3
S22001709,3,3
S22001902,3,3
S22019106,3,3
S22052496,3,3
S22013332,3,3
S22019060,3,3
S22000022,3,3
S22013303,3,3
S16699563,17,17
S22052509,3,3
S22013336,4,4
S22019052,4,4
S22052488,4,4
S22001921,4,4
S22000000,4,4
S22001082,3,3
S22013294,2,2
S22019138,3,3
S22019114,2,2
S22001669,2,2
S22013278,3,3
S22052514,2,2
S22000655,3,3
S22000426,2,2
S22052531,3,3
S22000344,5,5
S22013305,5,5
S22019099,5,5
S22052507,5,5
S22001718,5,5
S22013326,2,2
S22052497,2,2
S22019069,2,2
S22001836,2,2
S22000036,2,2
S22052505,3,3
S22001725,3,3
S22019096,3,3
S22000094,3,3
S22013308,3,3
S22019024,2,2
S22001954,2,2
S22013354,2,2
S22052486,2,2
S21999962,2,2
S22000630,1,1
S22019133,1,1
S22013285,1,1
S22001155,1,1
S22052526,1,1
S22052487,3,3
S22001951,3,3
S22013342,3,3
S22019030,3,3
S21999982,3,3
S22052510,2,2
S22013300,2,2
S22000393,2,2
S22001695,2,2
S22019112,2,2
S22001803,2,2
S22052498,2,2
S22000052,2,2
S22013323,2,2
S22019075,2,2
S22013286,2,2
S22001213,2,2
S22000079,2,2
S22019089,2,2
S22013310,2,2
S22019122,2,2
S22001729,2,2
S22052500,2,2
S22000582,2,2
S22052522,2,2
S22013277,2,2
S22001040,2,2
S22019146,2,2
S22052534,2,2
S22000670,2,2
S33745260,36,36
S27617046,14,14
S16653195,24,24
S21278920,33,33
S20320081,9,9
S25433667,4,4
S22159156,3,3
S12934617,7,7
S23914408,6,6
S23914431,3,3
S25433612,6,6
S23914483,5,5
S25433632,3,3
S23914404,6,6
S23914531,6,6
S22159189,3,3
S25435553,2,2
S25433701,5,5
S25433671,5,5
S25433628,2,2
S25433637,2,2
S25433708,3,3
S23914302,4,4
S25433643,3,3
S23914452,2,2
S25433692,5,5
S23914419,3,3
S25433695,2,2
S31643305,7,7
S27291748,9,9
S12934668,6,6
S67386268,36,36
S67386776,13,13
S21527232,4,4
S27291757,4,4
S21527231,8,8
S21526747,1,1
S21524621,3,3
S75092273,3,3
S75082955,11,11
S75083411,16,16
S75083013,12,12
S75034394,5,5
S19872852,18,18
S19872811,22,22
S19872853,28,28
S19872819,35,35
S19872816,18,18
S19872854,23,23
S14232369,23,23
S19872932,22,22
S19872851,18,18
S19872810,17,17
S19872860,15,15
S19872859,20,20
S19872814,20,20
S19872812,23,23
S19872849,30,30
S19872934,20,20
S19872933,30,30
S19872935,31,31
S19872815,31,31
S19872821,29,29
S19872813,20,20
S19872861,18,18
S75033173,16,16
S19872822,20,20
S19872820,19,19
S75093193,5,5
S75093690,7,7
S19872850,18,18
S75095232,5,5
S23642923,3,3
S20706865,16,16
S25434174,44,44
S13199617,39,39
S13169502,44,44
S25443172,44,44
S20429484,33,33
S24714773,16,16
S20445051,16,16
S12914701,16,16
S25140327,16,16
S12943556,8,8
S13007874,15,15
S13148239,4,4
S12978520,11,11
S12978529,11,11
S12952953,7,7
S12960591,13,13
S13041924,15,15
S13006548,9,9
S12979185,9,9
S12895058,4,4
S15971609,2,2
S12934782,3,3
S31737718,4,4
S39943005,5,5
S38654400,6,6
S13335478,47,47
S20847875,29,29
S21527088,28,28
S21526869,32,32
S21526868,16,16
S21532808,28,28
S21527089,10,10
S21526750,7,7
S27643580,7,7
S26663496,14,14
S21527090,13,13
S21526751,14,14
S21527233,12,12
S38654611,1,1
S17311791,18,18
S61393114,55,55
S37770691,15,15
S37770592,36,36
S73928553,10,10
S21054391,10,10
S61397969,20,20
S20706802,17,17
S20489481,13,13
S37210997,4,4
S53631252,12,12
S20515342,12,12
S60775487,1,1
S53891496,3,3
S21027253,10,10
S22088694,6,6
S27680172,34,34
S22309586,2,2
S31465347,2,2
S42391517,28,28
S42392285,8,8
S42391907,14,14
S42391163,9,9
S42391741,4,4
S42392344,2,2
S42391642,3,3
S42406558,6,6
S42392513,4,4
S42392584,4,4
S42392651,1,1
S68307349,8,8
S14067663,51,51
S77344576,6,6
S68777736,7,7
S22310107,1,1
S35368674,17,17
S25056165,8,8
S35368548,17,17
S22309386,2,2
S22309444,1,1
S20970104,67,67
S57307598,67,67
S20970168,27,27
S28756651,32,32
S57307596,32,32
S57307597,27,27
S57307595,16,16
S31988307,16,16
S26663429,19,19
S71829668,12,12
S73927220,10,10
S20504091,7,7
S31592863,2,2
S35368372,12,12
S35368696,12,12
S31593184,10,10
S18065646,9,9
S31593095,1,1
S31580336,5,5
S31580251,9,9
S55544032,1,1
S36380660,4,4
S31592998,1,1
S31580377,1,1
S80422624,5,5
S78117483,5,5
S27663863,25,25
S25226308,4,4
S27663723,10,10
S47877283,9,9
S22872482,51,51
S22993873,50,50
S25576096,2,2
S25574173,2,2
S25566534,2,2
S25338997,5,5
S27664628,26,26
S22080462,12,12
S15248445,3,3
S28072087,7,7
S26786399,22,22
S51011955,3,3
S23573557,36,36
S38992645,10,10
S38994690,4,4
S38994458,4,4
S25029248,44,44
S21006695,44,44
S20489207,26,26
S17886634,12,12
S27645561,4,4
S31780245,1,1
S67720416,30,30
S21279547,8,8
S16795069,25,25
S21279354,12,12
S51012000,1,1
S51012028,2,2
S23561787,3,3
S20981521,48,48
S62242654,32,32
S62224550,19,19
S32003367,40,40
S62242967,11,11
S20981520,3,3
S73992731,36,36
S74522149,48,48
S22590284,3,3
S32003522,15,15
S22590255,15,15
S62193602,26,26
S20984914,27,27
S62245816,21,21
S62254255,14,14
S20984912,20,20
S36002685,7,7
S20984915,34,34
S62193513,3,3
S73792426,35,35
S20984913,14,14
S62193607,4,4
S62252939,19,19
S17886760,8,8
S62193605,4,4
S20984918,1,1
S15739939,12,12
S22590336,4,4
S20984919,1,1
S73791378,44,44
S53889936,14,14
S18414341,16,16
S27646347,14,14
S53879769,13,13
S20489395,28,28
S48773086,4,4
S17866494,5,5
S17026670,1,1
S62267758,22,22
S31480202,22,22
S53728654,9,9
S53726965,4,4
S27647009,12,12
S47205495,18,18
S44551204,12,12
S73789739,54,54
S73993679,39,39
S27414116,24,24
S62193608,4,4
S62272589,13,13
S51012049,2,2
S15737876,4,4
S29367195,28,28
S29367196,34,33
S29367194,39,39
S37204592,18,18
S65996996,18,18
S46579183,18,18
S37206360,14,14
S65996994,14,14
S46579184,14,14
S29367201,19,19
S30489972,29,29
S15904525,9,9
S30489992,29,29
S17887120,26,26
S30489991,17,17
S30489993,17,17
S30490152,17,17
S66479982,18,18
S69932726,11,11
S16233298,3,3
S16233308,31,31
S65996992,5,5
S29367200,4,4
S69931674,11,11
S37207525,8,8
S71979616,5,5
S37207206,5,5
S46579187,5,5
S65996991,8,8
S46579188,8,8
S26787967,7,7
S26787953,7,7
S20713073,7,7
S65996993,7,7
S46579186,7,7
S37206954,7,7
S30489990,2,2
S30489989,2,2
S30490135,2,2
S30489983,2,2
S30489988,2,2
S28999413,2,2
S27662870,21,21
S19124402,21,21
S16213600,6,6
S46579192,8,8
S41769713,6,6
S37208994,8,8
S41769647,11,11
S16213577,1,1
S17026765,1,1
S27291709,16,16
S16233293,19,19
S15881085,14,14
S27660849,26,26
S16213569,11,11
S37208708,15,15
S46579189,15,15
S27662806,20,20
S46981057,1,1
S27199792,3,3
S17125809,30,30
S49412973,39,39
S32280394,39,39
S51199200,7,7
S67947329,8,8
S16066692,13,13
S27184331,8,8
S29367202,20,20
S51199481,5,5
S67947331,5,5
S27170673,11,11
S27188444,5,5
S67947334,5,5
S51199628,5,5
S27199654,7,7
S27188283,4,4
S27173189,4,4
S51012153,1,1
S51012181,1,1
S51012211,3,3
S17291039,33,33
S17315469,33,33
S16483052,13,13
S32015637,15,15
S17290856,9,9
S79683441,12,12
S17315342,9,9
S17290855,8,8
S17315346,8,8
S17315351,13,13
S17290852,13,13
S17290853,6,6
S17315350,6,6
S16483172,14,14
S17291042,2,2
S17315435,2,2
S79597833,28,28
S79682694,25,25
S16782614,33,33
S79657982,38,38
S16721497,33,33
S17315438,13,13
S17291041,13,13
S17315432,5,5
S17315457,23,23
S16785088,33,33
S17290845,5,5
S33902013,31,31
S79646465,22,22
S17290842,23,23
S79683087,30,30
S79643972,23,23
S79601665,24,24
S79682398,28,28
S16775560,35,35
S79555289,27,27
S16782483,30,30
S79603825,24,24
S17290843,4,4
S17315437,4,4
S32015660,20,20
S17157847,16,16
S16554450,16,16
S21429882,16,16
S17290854,5,5
S17315347,5,5
S79589152,15,15
S32015698,12,12
S17291040,13,13
S17315459,13,13
S17290851,7,7
S79557065,9,9
S17315353,7,7
S16785109,27,27
S79644475,11,11
S17315345,6,6
S17291043,6,6
S16852600,14,14
S79589421,9,9
S16852618,5,5
S17315419,3,3
S17290850,3,3
S79683310,5,5
S17239103,2,2
S21273595,2,2
S17290847,2,2
S17315429,2,2
S17849450,7,7
S17021908,7,7
S18723954,2,2
S80057125,3,3
S17176264,24,24
S22609613,23,23
S22887539,36,36
S17176358,18,18
S17176344,19,19
S17176275,16,16
S16825389,1,1
S16825404,15,15
S17176312,16,16
S22637230,21,21
S17837285,5,5
S16481947,5,5
S22637226,13,13
S16213225,13,13
S33743283,39,39
S33737415,39,39
S40840927,39,39
S33613605,39,39
S27615703,24,24
S27617179,39,39
S79554009,17,17
S21067758,24,24
S16201919,13,13
S16213613,6,6
S27616333,17,17
S16201978,9,9
S16202039,12,12
S16390581,12,12
S16202071,13,13
S21094308,9,9
S34821721,1,1
S16233316,23,23
S16529877,44,44
S79509747,23,23
S79341650,47,47
S17315300,14,14
S79547439,26,26
S17315038,14,14
S17315315,9,9
S79548329,15,15
S17315331,11,11
S17315029,11,11
S17315035,9,9
S17315040,9,9
S16233323,13,13
S79546293,2,2
S17315323,4,4
S17315031,4,4
S79339847,28,28
S16541968,23,23
S79508904,37,37
S17315034,2,2
S17315318,2,2
S79548815,18,18
S79511584,17,17
S17315039,12,12
