scientific_name,presences,absences,presence_prop,absences_sp_thin,absences_tmp_thin,presence_prop_post_thin
Acridotheres fuscus,3049,11189,0.21414524511869645,2257,2257,0.5746324915190351
Acridotheres tristis,1801,12436,0.12650136967057668,2301,2301,0.43905411994149196
Acrocephalus dumetorum,3152,11096,0.22122403144300953,2232,2232,0.5854383358098069
Aegithina tiphia,678,13559,0.04762239235794058,2388,2388,0.22113502935420742
Alcippe poioicephala,284,13956,0.019943820224719102,2420,2420,0.10502958579881656
Artamus fuscus,182,14055,0.012783592048886704,2427,2427,0.0697585281717133
Centropus sinensis,1666,12574,0.11699438202247191,2327,2327,0.4172301527673429
Chalcophaps indica,383,13857,0.026896067415730338,2414,2414,0.13693242760100108
Chrysocolaptes guttacristatus,488,13755,0.03426244470968195,2408,2408,0.1685082872928177
Cinnyris asiaticus,1579,12662,0.11087704515132364,2341,2341,0.40280612244897956
Cinnyris lotenius,312,13926,0.021913190054782976,2422,2422,0.1141185076810534
Columba livia,841,13397,0.05906728473100154,2385,2385,0.2606943583384997
Copsychus fulicatus,504,13732,0.03540320314695139,2412,2412,0.1728395061728395
Copsychus saularis,3664,10576,0.2573033707865168,2259,2259,0.6186054364342394
Corvus macrorhynchos,4273,9977,0.299859649122807,2156,2156,0.6646445792502722
Corvus splendens,2202,12036,0.15465655288664137,2236,2236,0.4961694456962596
Culicicapa ceylonensis,452,13786,0.031746031746031744,2399,2399,0.15854086285513855
Cyornis tickelliae,366,13875,0.025700442384664,2418,2418,0.1314655172413793
Cypsiurus balasiensis,456,13781,0.03202921963896888,2423,2423,0.15838832928100036
Dendrocitta leucogastra,363,13876,0.02549336329798441,2392,2392,0.13176043557168785
Dendrocitta vagabunda,921,13317,0.06468605141171513,2343,2343,0.2821691176470588
Dicrurus aeneus,558,13679,0.039193650347685606,2387,2387,0.18947368421052632
Dicrurus leucophaeus,1221,13018,0.08575040382049301,2374,2374,0.3396383866481224
Dicrurus macrocercus,911,13327,0.06398370557662593,2361,2361,0.2784229828850856
Dicrurus paradiseus,1593,12645,0.11188369152970923,2234,2234,0.41625293963940424
Dinopium benghalense,1036,13209,0.07272727272727272,2370,2370,0.30416911332941865
Eudynamys scolopaceus,975,13262,0.06848352883332162,2395,2395,0.2893175074183976
Ficedula nigrorufa,272,13966,0.019103806714426182,2415,2415,0.10122813546706363
Geokichla citrina,450,13790,0.03160112359550562,2410,2410,0.15734265734265734
Gracula indica,1577,12664,0.11073660557545116,2267,2267,0.4102497398543184
Halcyon smyrnensis,1243,12998,0.08728319640474685,2337,2337,0.34720670391061453
Hierococcyx varius,559,13683,0.0392501053222862,2407,2407,0.18846931894807822
Hypothymis azurea,202,14038,0.014185393258426967,2428,2428,0.07680608365019011
Hypsipetes ganeesa,691,13546,0.0485355060757182,2354,2354,0.22692939244663382
Iole indica,1209,13034,0.08488380256968335,2295,2295,0.3450342465753425
Irena puella,541,13700,0.037988905273506075,2390,2390,0.1845786421016718
Lanius cristatus,649,13596,0.04555984555984556,2406,2406,0.21243862520458265
Lanius schach,797,13441,0.055976963056609076,2377,2377,0.2511027095148078
Leptocoma minima,879,13363,0.06171885971071479,2331,2331,0.2738317757009346
Leptocoma zeylonica,1314,12930,0.09224936815501264,2347,2347,0.3589183283255941
Loriculus vernalis,1735,12506,0.12183133206937716,2291,2291,0.43094883258817684
Merops leschenaulti,1522,12721,0.10685950993470476,2339,2339,0.3941983941983942
Merops orientalis,604,13634,0.04242168843938755,2403,2403,0.2008646491519787
Montecincla fairbanki,534,13706,0.0375,2377,2377,0.18344211611130196
Motacilla cinerea,1646,12593,0.11559800547791277,2355,2355,0.4113971507123219
Motacilla maderaspatensis,690,13549,0.04845845916145797,2387,2387,0.22424439389015274
