predictor,scientific_name
bio_1,Ficedula nigrorufa
bio_1,Montecincla fairbanki
bio_12,Montecincla fairbanki
bio_1,Culicicapa ceylonensis
bio_12,Picus xanthopygaeus
bio_1,Hypsipetes ganeesa
bio_12,Hypsipetes ganeesa
lc_01,Hypsipetes ganeesa
bio_1,Turdus simillimus
bio_12,Turdus simillimus
lc_04,Turdus simillimus
bio_1,Treron affinis
bio_12,Treron affinis
bio_1,Sitta frontalis
bio_1,Irena puella
bio_12,Irena puella
lc_01,Irena puella
lc_02,Irena puella
bio_1,Psilopogon malabaricus
bio_12,Psilopogon malabaricus
bio_1,Pomatorhinus horsfieldii
bio_12,Pomatorhinus horsfieldii
lc_01,Pomatorhinus horsfieldii
bio_12,Leptocoma minima
lc_01,Leptocoma minima
bio_1,Merops leschenaulti
bio_12,Merops leschenaulti
lc_01,Merops leschenaulti
bio_1,Pericrocotus cinnamomeus
bio_12,Pericrocotus cinnamomeus
lc_01,Pericrocotus cinnamomeus
lc_02,Pericrocotus cinnamomeus
bio_1,Ocyceros griseus
bio_12,Ocyceros griseus
bio_1,Upupa epops
bio_12,Upupa epops
lc_05,Upupa epops
lc_07,Upupa epops
bio_1,Lanius schach
bio_12,Lanius schach
lc_07,Lanius schach
bio_1,Gracula indica
bio_12,Gracula indica
bio_12,Myophonus horsfieldii
lc_01,Myophonus horsfieldii
lc_07,Myophonus horsfieldii
bio_1,Pericrocotus flammeus
bio_12,Pericrocotus flammeus
lc_03,Pericrocotus flammeus
bio_1,Iole indica
bio_12,Iole indica
lc_03,Iole indica
bio_1,Psittacula cyanocephala
bio_12,Psittacula cyanocephala
lc_01,Psittacula cyanocephala
lc_07,Psittacula cyanocephala
bio_1,Motacilla cinerea
bio_12,Motacilla cinerea
lc_01,Motacilla cinerea
bio_1,Lanius cristatus
bio_12,Lanius cristatus
lc_05,Lanius cristatus
bio_1,Parus cinereus
bio_1,Zosterops palpebrosus
bio_12,Zosterops palpebrosus
bio_1,Hierococcyx varius
bio_1,Dicrurus leucophaeus
bio_1,Loriculus vernalis
bio_12,Loriculus vernalis
lc_01,Loriculus vernalis
bio_1,Pycnonotus luteolus
bio_12,Pycnonotus luteolus
lc_09,Pycnonotus luteolus
bio_1,Aegithina tiphia
bio_12,Aegithina tiphia
lc_09,Aegithina tiphia
bio_12,Copsychus fulicatus
lc_01,Copsychus fulicatus
lc_04,Copsychus fulicatus
lc_07,Copsychus fulicatus
bio_1,Passer domesticus
bio_12,Passer domesticus
lc_09,Motacilla maderaspatensis
bio_1,Psilopogon haemacephalus
bio_12,Psilopogon haemacephalus
lc_07,Psilopogon haemacephalus
bio_1,Acridotheres fuscus
bio_12,Acridotheres fuscus
lc_07,Acridotheres fuscus
bio_1,Pavo cristatus
bio_12,Pavo cristatus
lc_01,Pavo cristatus
bio_1,Acrocephalus dumetorum
bio_12,Acrocephalus dumetorum
lc_05,Acrocephalus dumetorum
bio_1,Dinopium benghalense
bio_1,Cinnyris asiaticus
bio_12,Cinnyris asiaticus
bio_1,Merops orientalis
bio_12,Merops orientalis
bio_1,Prinia socialis
bio_12,Prinia socialis
bio_1,Dendrocitta vagabunda
bio_12,Dendrocitta vagabunda
lc_01,Dendrocitta vagabunda
bio_12,Streptopelia chinensis
lc_05,Streptopelia chinensis
lc_07,Streptopelia chinensis
bio_1,Copsychus saularis
lc_01,Copsychus saularis
lc_07,Copsychus saularis
bio_1,Pycnonotus cafer
bio_12,Pycnonotus cafer
bio_1,Centropus sinensis
bio_12,Centropus sinensis
lc_02,Centropus sinensis
lc_05,Centropus sinensis
bio_1,Orthotomus sutorius
lc_05,Orthotomus sutorius
bio_1,Leptocoma zeylonica
bio_12,Leptocoma zeylonica
bio_1,Pycnonotus jocosus
bio_12,Pycnonotus jocosus
bio_1,Psittacula krameri
bio_12,Psittacula krameri
lc_04,Psittacula krameri
bio_1,Dicrurus macrocercus
bio_12,Dicrurus macrocercus
lc_04,Dicrurus macrocercus
bio_1,Halcyon smyrnensis
lc_09,Halcyon smyrnensis
bio_12,Psilopogon viridis
bio_1,Eudynamys scolopaceus
lc_04,Eudynamys scolopaceus
bio_1,Columba livia
bio_12,Columba livia
bio_1,Corvus macrorhynchos
bio_12,Corvus macrorhynchos
lc_09,Corvus macrorhynchos
bio_1,Acridotheres tristis
bio_12,Acridotheres tristis
lc_01,Acridotheres tristis
lc_04,Acridotheres tristis
lc_07,Acridotheres tristis
bio_1,Corvus splendens
lc_04,Corvus splendens
