predictor,habitat,effect,magnitude
bio15a,FOR,negative,-3
bio15a,FOR,positive,8
bio15a,OC,negative,-3
bio15a,OC,positive,8
bio4a,FOR,negative,-23
bio4a,FOR,positive,6
bio4a,OC,negative,-12
bio4a,OC,positive,9
lc_01,FOR,negative,-2
lc_01,FOR,positive,17
lc_01,OC,negative,-6
lc_01,OC,positive,5
lc_02,FOR,negative,0
lc_02,FOR,positive,8
lc_02,OC,negative,-2
lc_02,OC,positive,1
lc_03,OC,negative,-1
lc_03,OC,positive,3
lc_04,FOR,negative,-2
lc_04,FOR,positive,1
lc_04,OC,negative,-2
lc_04,OC,positive,3
lc_05,FOR,negative,-3
lc_05,FOR,positive,2
lc_05,OC,negative,-11
lc_05,OC,positive,0
lc_07,FOR,negative,-2
lc_07,FOR,positive,5
lc_07,OC,negative,-4
lc_07,OC,positive,8
lc_09,FOR,negative,0
lc_09,FOR,positive,1
lc_09,OC,negative,0
lc_09,OC,positive,4
