scientific_name,predictor,coefficient,se
Ficedula nigrorufa,bio4a,2.51532608697746,0.652834492544194
Culicicapa ceylonensis,bio4a,3.60272470705885,0.630420190724877
Culicicapa ceylonensis,lc_01,3.41710936825926,0.317826176709386
Culicicapa ceylonensis,lc_05,3.43298050229261,0.38225152530536
Picus xanthopygaeus,bio15a,4.80622635486555,1.42693303420159
Picus xanthopygaeus,lc_01,3.0563790950602,0.480604761473937
Picus xanthopygaeus,lc_07,3.77662083270462,0.747735827768672
Alcippe poioicephala,bio4a,-2.48257997664107,0.999295657978929
Alcippe poioicephala,lc_01,4.14480136762386,0.646607553013938
Alcippe poioicephala,lc_03,-31.2547525715819,15.4130395347792
Alcippe poioicephala,lc_04,-2.8209704649922,1.02480376052741
Hypsipetes ganeesa,bio4a,4.56053719295849,0.854058523865675
Turdus simillimus,bio15a,-1.70893929800496,0.714706920721138
Yungipicus nanus,bio4a,-2.74940575812522,0.724727345503479
Yungipicus nanus,lc_01,0.969631472609942,0.43654338511989
Yungipicus nanus,lc_02,0.934378166504311,0.370574636471733
Treron affinis,bio15a,3.29882098934458,1.26446981061047
Treron affinis,bio4a,-7.48785112152742,1.20741451756263
Dendrocitta leucogastra,bio4a,-7.72335101020521,1.16163723924785
Chalcophaps indica,bio4a,-3.4774831425933,0.688423984934
Chalcophaps indica,lc_01,2.749639094076,1.0476999172468
Sitta frontalis,lc_01,3.59131426512578,0.553201335043771
Sitta frontalis,lc_04,-0.960876165020226,0.399478077603047
Rubigula gularis,bio4a,-9.78851657401712,1.1313682005091
Turdoides subrufa,lc_01,4.39104574100352,1.89425193264176
Irena puella,bio4a,-7.46231109443932,0.981568287618087
Irena puella,lc_01,5.57844834381421,1.01034568555797
Irena puella,lc_02,2.18884354271522,0.883438034616575
Hypothymis azurea,bio4a,-7.21776807708879,1.01126763103321
Hypothymis azurea,lc_01,1.89009123896306,0.599258817404461
Psilopogon malabaricus,bio4a,-6.38161293141572,1.14674534533673
Psilopogon malabaricus,lc_01,9.8248736303441,4.76368466289677
Chrysocolaptes guttacristatus,bio4a,-3.41757926867882,0.660734675115446
Chrysocolaptes guttacristatus,lc_01,2.32230483581359,0.777807221880704
Muscicapa dauurica,bio4a,-3.81437471005528,0.685782626069863
Muscicapa dauurica,lc_01,1.10101218075675,0.406156814507263
Muscicapa dauurica,lc_02,1.79402157746594,0.348634502423242
Pellorneum ruficeps,bio15a,-2.51983107997283,0.901508525244493
Pellorneum ruficeps,bio4a,2.3854468199044,0.82180303714026
Pellorneum ruficeps,lc_01,2.89667755838764,0.40662847128271
Pellorneum ruficeps,lc_05,-1.57875118886683,0.740842263292996
Pellorneum ruficeps,lc_07,1.41416277861295,0.430765378782606
Pomatorhinus horsfieldii,bio4a,3.27418433472741,0.727663022502428
Pomatorhinus horsfieldii,lc_01,6.45579170737096,0.910525272461861
Pomatorhinus horsfieldii,lc_04,-1.6772621085534,0.618263557793845
Pomatorhinus horsfieldii,lc_07,3.40356362339867,0.641477706119883
Leptocoma minima,bio15a,1.99186612375712,0.733543659964955
Leptocoma minima,bio4a,-3.58366310405424,0.599103369600422
Leptocoma minima,lc_01,5.10140321475822,0.488883970889388
Leptocoma minima,lc_02,1.48453000782426,0.397300974067773
Geokichla citrina,bio15a,2.53459161248385,0.966263408155143
Geokichla citrina,bio4a,-6.36916706167676,0.881367048481841
Geokichla citrina,lc_01,1.94527566836717,0.38535108015389
Geokichla citrina,lc_05,-1.43267197624743,0.627688015289126
Geokichla citrina,lc_07,1.83671785748357,0.439023393576168
Prinia hodgsonii,bio4a,1.93356885816835,0.817026002482934
Prinia hodgsonii,lc_05,-4.36787616388197,1.16209818618093
Prinia hodgsonii,lc_09,-7.63163301166826,3.72082129486473
Merops leschenaulti,bio4a,-3.94683004895397,0.674063434487979
Merops leschenaulti,lc_01,3.89250420063578,0.691401056327625
Merops leschenaulti,lc_04,-0.90578184686001,0.422143030539928
Merops leschenaulti,lc_05,-2.03908647698492,0.559739674509545
Pericrocotus cinnamomeus,bio4a,-1.885905541059,0.621821362841493
Ocyceros griseus,bio15a,2.90365295831196,1.21598668955009
Ocyceros griseus,bio4a,-13.7478646658329,1.79670581651891
Upupa epops,bio4a,3.21606455449829,0.75570408932432
Upupa epops,lc_01,1.29987544843167,0.417225608051031
Upupa epops,lc_07,2.98301247749241,0.503576069145609
Cyornis tickelliae,lc_01,-2.38478024994768,0.648620454043753
Cyornis tickelliae,lc_04,-1.34385059753428,0.59024973644663
Lanius schach,bio15a,6.45762365380329,1.7087917271856
Lanius schach,bio4a,17.0997230358263,2.34972683643464
Lanius schach,lc_02,-1.33828875945997,0.511779413811414
