scientific_name,predictor,coefficient,se,order,common_name,eBird_spp_codes,Habitat.use,Habitat.type,Notes,HWI,Body.mass,Log.transformed.Body.Mass,TrophicLevel,TrophicNiche,Migration.1,Migration.2,Migration.3,Diet
Ficedula nigrorufa,bio_1,6.88303135308594,3.29604312132664,Passeriformes,Black-and-orange Flycatcher,barfly1,FOR,Forest,forest specialist and endemic,15.37661662,10.5,0.971275849,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Ficedula nigrorufa,Ibio_1^2,-26.6537588679195,5.10676920106357,Passeriformes,Black-and-orange Flycatcher,barfly1,FOR,Forest,forest specialist and endemic,15.37661662,10.5,0.971275849,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Ficedula nigrorufa,lc_01,2.87119667075282,1.44468208051006,Passeriformes,Black-and-orange Flycatcher,barfly1,FOR,Forest,forest specialist and endemic,15.37661662,10.5,0.971275849,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Montecincla fairbanki,bio_1,19.8320910707285,3.87430856953627,Passeriformes,Palani Laughingthrush,kerlau2,FOR,Forest,forest bird,7.10243127,45.5,1.658011397,Omnivore,Invertivore,Not a Migrant,1,NA,invertebrates
Montecincla fairbanki,Ibio_1^2,-41.6610440789031,5.68198775510954,Passeriformes,Palani Laughingthrush,kerlau2,FOR,Forest,forest bird,7.10243127,45.5,1.658011397,Omnivore,Invertivore,Not a Migrant,1,NA,invertebrates
Montecincla fairbanki,bio_12,22.7864406394715,4.14643817169416,Passeriformes,Palani Laughingthrush,kerlau2,FOR,Forest,forest bird,7.10243127,45.5,1.658011397,Omnivore,Invertivore,Not a Migrant,1,NA,invertebrates
Montecincla fairbanki,Ibio_12^2,-19.8076348086782,4.02459348261961,Passeriformes,Palani Laughingthrush,kerlau2,FOR,Forest,forest bird,7.10243127,45.5,1.658011397,Omnivore,Invertivore,Not a Migrant,1,NA,invertebrates
Culicicapa ceylonensis,Ibio_1^2,-10.5621744465931,3.05050529609119,Passeriformes,Gray-headed Canary-Flycatcher,gyhcaf1,FOR,Forest,forest bird,19.98883172,7.7,0.886490725,Carnivore,Invertivore,Not a Migrant,1,directional migratory,invertebrates
Picus xanthopygaeus,bio_1,13.9200044314745,2.83809198096037,Piciformes,Streak-throated Woodpecker,sttwoo1,OC,Forest,"forest edges, but often open areas",22.34897824,99.7,1.998651596,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Picus xanthopygaeus,Ibio_1^2,-13.5953931509138,2.56836810597971,Piciformes,Streak-throated Woodpecker,sttwoo1,OC,Forest,"forest edges, but often open areas",22.34897824,99.7,1.998651596,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Picus xanthopygaeus,bio_12,7.83673111381909,2.0513659853542,Piciformes,Streak-throated Woodpecker,sttwoo1,OC,Forest,"forest edges, but often open areas",22.34897824,99.7,1.998651596,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Picus xanthopygaeus,Ibio_12^2,-5.3841348933917,1.7902470700906,Piciformes,Streak-throated Woodpecker,sttwoo1,OC,Forest,"forest edges, but often open areas",22.34897824,99.7,1.998651596,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Alcippe poioicephala,lc_01,3.48209558262905,0.562473568883224,Passeriformes,Brown-cheeked Fulvetta,brcful1,FOR,Forest,forest bird,10.84852981,20.7,1.315970345,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Alcippe poioicephala,lc_03,-27.0573574827877,13.5639843485362,Passeriformes,Brown-cheeked Fulvetta,brcful1,FOR,Forest,forest bird,10.84852981,20.7,1.315970345,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Alcippe poioicephala,lc_04,-2.83232728811768,0.94740367897755,Passeriformes,Brown-cheeked Fulvetta,brcful1,FOR,Forest,forest bird,10.84852981,20.7,1.315970345,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Hypsipetes ganeesa,bio_1,5.06826823516007,2.25193223191401,Passeriformes,Square-tailed Bulbul,sqtbul1,FOR,Forest,forest habitats,23.27074798,42.9,1.632457292,Herbivore,Frugivore,NA,1,resident,NA
Hypsipetes ganeesa,Ibio_1^2,-13.9589240562884,2.55666933373207,Passeriformes,Square-tailed Bulbul,sqtbul1,FOR,Forest,forest habitats,23.27074798,42.9,1.632457292,Herbivore,Frugivore,NA,1,resident,NA
Hypsipetes ganeesa,bio_12,9.92843798150848,2.14152013480362,Passeriformes,Square-tailed Bulbul,sqtbul1,FOR,Forest,forest habitats,23.27074798,42.9,1.632457292,Herbivore,Frugivore,NA,1,resident,NA
Hypsipetes ganeesa,Ibio_12^2,-8.21749787972051,1.88884672339016,Passeriformes,Square-tailed Bulbul,sqtbul1,FOR,Forest,forest habitats,23.27074798,42.9,1.632457292,Herbivore,Frugivore,NA,1,resident,NA
Hypsipetes ganeesa,lc_01,3.04007976804751,1.29375446261565,Passeriformes,Square-tailed Bulbul,sqtbul1,FOR,Forest,forest habitats,23.27074798,42.9,1.632457292,Herbivore,Frugivore,NA,1,resident,NA
Turdus simillimus,bio_12,7.35436885893399,1.95458571964287,Passeriformes,Indian Blackbird,eurbla2,OC,Forest,forest edge and open habitats,20.28216919,74.9,1.874481818,Omnivore,Omnivore,NA,1,directional migratory,NA
Turdus simillimus,Ibio_12^2,-6.17706137917015,1.75391613064745,Passeriformes,Indian Blackbird,eurbla2,OC,Forest,forest edge and open habitats,20.28216919,74.9,1.874481818,Omnivore,Omnivore,NA,1,directional migratory,NA
