order,scientific_name,common_name,eBird_spp_codes,Habitat use,HWI,Body mass,Log-transformed Body Mass,TrophicLevel,TrophicNiche,Migration-1,Migration-2,Migration-3,Diet
Passeriformes,Acridotheres fuscus,Jungle Myna,junmyn1,OC,24.7162719,82.8,1.918030337,Omnivore,Omnivore,Not a Migrant,2,resident,omnivore
Passeriformes,Acridotheres tristis,Common Myna,commyn,OC,21.84696376,116,2.066064897,Carnivore,Omnivore,Not a Migrant,2,resident,omnivore
Passeriformes,Acrocephalus dumetorum,Blyth's Reed Warbler,blrwar1,OC,21.82218576,11.2,1.049218023,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Passeriformes,Aegithina tiphia,Common Iora,comior1,OC,9.442634919,12,1.079181246,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Passeriformes,Alcippe poioicephala,Brown-cheeked Fulvetta,brcful1,FOR,10.84852981,20.7,1.315970345,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Passeriformes,Artamus fuscus,Ashy Woodswallow,ashwoo2,OC,47.65872903,39.8,1.599883072,Carnivore,Invertivore,Full Migrant,1,resident,invertebrates
Passeriformes,Cecropis daurica,Red-rumped Swallow,rerswa1,OC,52.54321181,22,1.346352974,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Cuculiformes,Centropus sinensis,Greater Coucal,grecou1,OC,13.23180548,283,2.448242413,Carnivore,Vertivore,Not a Migrant,1,resident,vertebrates
Columbiformes,Chalcophaps indica,Asian Emerald Dove,emedov2,FOR,28.69523682,136,2.135259899,Herbivore,Omnivore,Not a Migrant,1,resident,omnivore
Passeriformes,Chloropsis aurifrons,Golden-fronted Leafbird,goflea1,FOR,19.98309306,32.5,1.509336958,Omnivore,Omnivore,Not a Migrant,1,resident,omnivore
Passeriformes,Chloropsis jerdoni,Jerdon's Leafbird,jerlea1,FOR,13.33196316,24.5,1.389166084,Omnivore,Omnivore,Not a Migrant,1,resident,fruit
Piciformes,Chrysocolaptes guttacristatus,Greater Flameback,grefla1,FOR,19.87077838,142,2.152288344,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Passeriformes,Cinnyris asiaticus,Purple Sunbird,pursun4,OC,17.7876848,8.1,0.908485019,Omnivore,Omnivore,Not a Migrant,1,resident,omnivore
Passeriformes,Cinnyris lotenius,Loten's Sunbird,lobsun2,FOR,14.2241907,8,0.942999593,Omnivore,Nectarivore,Not a Migrant,1,resident,omnivore
Columbiformes,Columba livia,Rock Pigeon,rocpig,OC,44.18079137,354.5,2.549248557,Herbivore,Granivore,Not a Migrant,1,resident,seeds
Passeriformes,Copsychus fulicatus,Indian Robin,indrob1,OC,7.722208932,16.6,1.220108088,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Passeriformes,Copsychus saularis,Oriental Magpie-Robin,magrob,OC,18.59340096,36,1.556302501,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Passeriformes,Corvus macrorhynchos,Large-billed Crow,labcro1,OC,38.03851875,521,2.71023587,Omnivore,Omnivore,Not a Migrant,1,resident,omnivore
Passeriformes,Corvus splendens,House Crow,houcro1,OC,36.62683518,293.5,2.466200102,Omnivore,Omnivore,Not a Migrant,1,resident,scav
Passeriformes,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,gyhcaf1,FOR,19.98883172,7.7,0.886490725,Carnivore,Invertivore,Not a Migrant,1,directional migratory,invertebrates
Passeriformes,Cyornis tickelliae,Tickell's Blue Flycatcher,tibfly3,OC,18.95807643,14.6,1.209783015,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Apodiformes,Cypsiurus balasiensis,Asian Palm-Swift,aspswi1,OC,68.27155551,9.1,0.959518377,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Passeriformes,Dendrocitta leucogastra,White-bellied Treepie,whbtre1,FOR,11.46243132,99.2,1.996511672,Carnivore,Omnivore,Not a Migrant,1,resident,omnivore
Passeriformes,Dendrocitta vagabunda,Rufous Treepie,ruftre2,OC,14.95803233,100,2,Carnivore,Omnivore,Not a Migrant,1,resident,omnivore
Passeriformes,Dicaeum concolor,Nilgiri Flowerpecker,plaflo1,OC,20.29235021,6.2,0.792391689,Herbivore,Omnivore,Not a Migrant,1,resident,invertebrates
Passeriformes,Dicaeum erythrorhynchos,Pale-billed Flowerpecker,pabflo1,OC,20.98007246,6.3,0.799340549,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
Passeriformes,Dicrurus aeneus,Bronzed Drongo,brodro1,FOR,27.86537116,26,1.414973348,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Passeriformes,Dicrurus leucophaeus,Ashy Drongo,ashdro1,OC,30.10929264,37.6,1.575187845,Carnivore,Invertivore,Full Migrant,1,directional migratory,invertebrates
Passeriformes,Dicrurus macrocercus,Black Drongo,bladro1,OC,27.11140206,48.3,1.683947131,Carnivore,Invertivore,Full Migrant,1,directional migratory,invertebrates
Passeriformes,Dicrurus paradiseus,Greater Racket-tailed Drongo,grtdro1,FOR,22.20132932,79.5,1.93358851,Carnivore,Invertivore,Not a Migrant,1,directional migratory,invertebrates
Piciformes,Dinopium benghalense,Black-rumped Flameback,bkrfla1,OC,20.69691878,100,2,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Passeriformes,Ficedula nigrorufa,Black-and-orange Flycatcher,barfly1,FOR,15.37661662,10.5,0.971275849,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Passeriformes,Geokichla citrina,Orange-headed Thrush,orhthr1,OC,29.62560681,53.5,1.726727209,Omnivore,Invertivore,Full Migrant,3,directional migratory,omnivore
