scientific_name,predictor,coefficient,se,order,common_name,eBird_spp_codes,Habitat.type
Montecincla fairbanki,Precipitation seasonality,10.14144553,2.737456442,Passeriformes,Palani Laughingthrush,kerlau2,Forest
Montecincla fairbanki,Temperature seasonality,20.71548164,3.842911038,Passeriformes,Palani Laughingthrush,kerlau2,Forest
Culicicapa ceylonensis,Precipitation seasonality,-1.513852645,0.661764566,Passeriformes,Gray-headed Canary-Flycatcher,gyhcaf1,Forest
Culicicapa ceylonensis,Temperature seasonality,3.136331118,0.506294278,Passeriformes,Gray-headed Canary-Flycatcher,gyhcaf1,Forest
Picus xanthopygaeus,Precipitation seasonality,2.662580634,0.986628219,Piciformes,Streak-throated Woodpecker,sttwoo1,Forest
Hypsipetes ganeesa,Precipitation seasonality,-2.474223455,0.626210301,Passeriformes,Square-tailed Bulbul,sqtbul1,Forest
Hypsipetes ganeesa,Temperature seasonality,3.550588673,0.632993019,Passeriformes,Square-tailed Bulbul,sqtbul1,Forest
Yungipicus nanus,Temperature seasonality,-2.256848314,0.598380495,Piciformes,Brown-capped Woodpecker,bncwoo3,Forest
Sitta frontalis,Evergreen forests,3.258820852,0.475819469,Passeriformes,Velvet-fronted Nuthatch,vefnut1,Forest
Sitta frontalis,Mixed/degraded forests,-14.62453409,7.355696363,Passeriformes,Velvet-fronted Nuthatch,vefnut1,Forest
Sitta frontalis,Agriculture/settlements,-1.128737547,0.454899642,Passeriformes,Velvet-fronted Nuthatch,vefnut1,Forest
Irena puella,Temperature seasonality,-6.09640571,0.783005598,Passeriformes,Asian Fairy-bluebird,asfblu1,Forest
Irena puella,Evergreen forests,4.571316909,1.489812424,Passeriformes,Asian Fairy-bluebird,asfblu1,Forest
Psilopogon malabaricus,Temperature seasonality,-5.999375206,1.046579956,Piciformes,Malabar Barbet,crfbar1,Forest
Pomatorhinus horsfieldii,Temperature seasonality,2.170855972,0.562211479,Passeriformes,Indian Scimitar-Babbler,insbab1,Forest
Pomatorhinus horsfieldii,Evergreen forests,7.599359859,2.16960125,Passeriformes,Indian Scimitar-Babbler,insbab1,Forest
Leptocoma minima,Precipitation seasonality,1.381789796,0.618696454,Passeriformes,Crimson-backed Sunbird,crbsun2,Forest
Leptocoma minima,Temperature seasonality,-3.273328304,0.516780985,Passeriformes,Crimson-backed Sunbird,crbsun2,Forest
Leptocoma minima,Evergreen forests,4.643118119,1.346314609,Passeriformes,Crimson-backed Sunbird,crbsun2,Forest
