sampling_event_identifier,nSp,totSoiSeen
S21519429,22,22
S21522775,7,7
S20847495,4,4
S21522912,9,9
S20847497,7,7
S20847496,3,3
S16785666,32,32
S20847867,38,37
S22944793,37,37
S20838108,32,32
S20838110,20,20
S21501491,37,37
S77593608,13,13
S21502998,37,37
S21526866,20,20
S83193116,7,7
S20847868,32,32
S20838109,20,20
S20847870,9,9
S21526726,13,13
S81170142,13,13
S20847872,11,11
S21524963,15,15
S21526599,8,8
S20847869,2,2
S20847874,4,4
S20847871,3,3
S21526867,3,3
S37655145,3,3
S21522088,1,1
S21518684,1,1
S15916814,4,4
S20222637,2,2
S22000374,3,3
S22001709,3,3
S22001902,3,3
S22019106,3,3
S22052496,3,3
S22013332,3,3
S22019060,3,3
S22000022,3,3
S22013303,3,3
S22052509,3,3
S22013336,4,4
S22019052,4,4
S22052488,4,4
S22001921,4,4
S22000000,4,4
S22001082,3,3
S22013294,2,2
S22019138,3,3
S22019114,2,2
S22001669,2,2
S22013278,3,3
S22052514,2,2
S22000655,3,3
S22000426,2,2
S22052531,3,3
S22000344,5,5
S22013305,5,5
S22019099,5,5
S22052507,5,5
S22001718,5,5
S22013326,2,2
S22052497,2,2
S22019069,2,2
S22001836,2,2
S22000036,2,2
S22052505,3,3
S22001725,3,3
S22019096,3,3
S22000094,3,3
S22013308,3,3
S22019024,2,2
S22001954,2,2
S22013354,2,2
S22052486,2,2
S21999962,2,2
S22000630,1,1
S22019133,1,1
S22013285,1,1
S22001155,1,1
S22052526,1,1
S22052487,3,3
S22001951,3,3
S22013342,3,3
S22019030,3,3
S21999982,3,3
S22052510,2,2
S22013300,2,2
S22000393,2,2
S22001695,2,2
S22019112,2,2
S22001803,2,2
S22052498,2,2
S22000052,2,2
S22013323,2,2
S22019075,2,2
S22013286,2,2
S22001213,2,2
S22000079,2,2
S22019089,2,2
S22013310,2,2
S22019122,2,2
S22001729,2,2
S22052500,2,2
S22000582,2,2
S22052522,2,2
S22013277,2,2
S22001040,2,2
S22019146,2,2
S22052534,2,2
S22000670,2,2
S27617046,14,14
S20320081,9,9
S12934617,7,7
S31643305,7,7
S21527231,8,8
S21526747,1,1
S21524621,3,3
S75082955,10,10
S75092273,2,2
S75083411,16,16
S75083013,12,12
S75034394,5,5
S19872852,18,18
S19872811,22,22
S19872853,28,28
S19872819,35,35
S19872816,18,18
S19872854,23,23
S19872932,22,22
S19872851,18,18
S19872810,17,17
S19872860,15,15
S19872859,20,20
S19872814,20,20
S19872812,23,23
S19872849,30,30
S19872934,20,20
S19872933,30,30
S19872935,31,31
S19872815,31,31
S19872821,29,29
S19872813,20,20
S19872861,18,18
S75033173,15,15
S19872822,20,20
S19872820,19,19
S75093193,5,5
S75093690,7,7
S19872850,18,18
S75095232,5,5
S23642923,3,3
S20706865,16,16
S25434174,42,42
S13169502,42,42
S25443172,42,42
S20429484,32,32
S24714773,15,15
S20445051,15,15
S12914701,15,15
S25140327,15,15
S12943556,7,7
S13007874,15,15
S13148239,4,4
S12978520,11,11
S12978529,11,11
S12960591,13,13
S13041924,15,15
S13006548,9,9
S12895058,4,4
S15971609,2,2
S12934782,3,3
S31737718,4,4
S13335478,47,47
S20847875,29,29
S21527088,28,28
S21526869,32,32
S21526868,16,16
S21532808,28,28
S21527089,10,10
S21526750,7,7
S27643580,7,7
S21527090,13,13
S21526751,14,14
S21527233,12,12
S17311791,18,18
S61393114,53,53
S37770691,15,15
S37770592,36,36
S73928553,10,10
S21054391,10,10
S61397969,19,19
S20706802,16,16
S20489481,12,12
S37210997,4,4
S53631252,13,13
S20515342,12,12
S60775487,1,1
S53891496,3,3
S21027253,10,10
S22088694,6,6
S27680172,33,33
S87855115,8,8
S87852080,16,16
S22309586,1,1
S31465347,2,2
S68307349,7,7
S14067663,50,50
S77344576,7,7
S68777736,7,7
S25056165,8,8
S22309386,2,2
S22309444,1,1
S20970104,65,65
S57307598,65,65
S20970168,26,26
S28756651,32,32
S57307596,32,32
S57307597,26,26
S26663429,19,19
S71829668,12,12
S37204592,18,18
S65996996,18,18
S46579183,18,18
S37206360,14,14
S65996994,14,14
S46579184,14,14
S30489972,29,29
S15904525,9,9
S30489992,29,29
S17887120,26,26
S30489991,17,17
S30489993,17,17
S30490152,17,17
S69932726,12,12
S16233298,3,3
S16233308,30,30
S65996992,5,5
S69931674,11,11
S37207525,8,8
S37207206,5,5
S46579187,5,5
S65996991,8,8
S46579188,8,8
S26787967,7,7
S26787953,7,7
S20713073,7,7
S65996993,6,6
S46579186,6,6
S37206954,6,6
S30489990,2,2
S30489989,2,2
S30490135,2,2
S30489983,2,2
S30489988,2,2
S28999413,2,2
S27662870,21,21
S19124402,21,21
S16213600,5,5
S46579192,8,8
S41769713,6,6
S37208994,8,8
S41769647,11,11
S16213577,1,1
S17026765,1,1
S16233293,19,19
S15881085,14,14
S27660849,26,26
S16213569,11,11
S37208708,14,14
S46579189,14,14
S27662806,20,20
S46981057,1,1
S27199792,3,3
S17125809,30,30
S49412973,39,39
S32280394,39,39
S51199200,7,7
S67947329,8,8
S16066692,13,13
S27184331,8,8
S51199481,5,5
S67947331,5,5
S27170673,11,11
S27188444,5,5
S67947334,5,5
S51199628,5,5
S27199654,7,7
S27188283,4,4
S27173189,4,4
S51012153,1,1
S51012181,1,1
S51012211,3,3
S17290856,9,9
S16483052,12,12
S79683441,11,11
S17315342,9,9
S17290855,8,8
S17315346,8,8
S32015637,14,14
S17290853,6,6
S17315350,6,6
S16483172,14,14
S17315351,12,12
S17290852,12,12
S79597833,28,28
S79682694,25,25
S16782614,33,33
S79657982,38,38
S16721497,32,32
S16785088,33,33
S33902013,31,31
S79646465,22,22
S79683087,29,29
S79643972,23,23
S79601665,24,24
S79682398,27,27
S16775560,34,34
S79555289,26,26
S16782483,29,29
S79603825,23,23
S32015660,20,20
S17157847,16,16
S16554450,16,16
S21429882,16,16
S17290854,5,5
S17315347,5,5
S79589152,15,15
S32015698,12,12
S79557065,9,9
S16785109,26,26
S79644475,11,11
S17315345,6,6
S17291043,6,6
S16852600,14,14
S79589421,9,9
S16852618,5,5
S79683310,5,5
S17849450,7,7
S17021908,6,6
S18723954,2,2
S80057125,3,3
S17176264,24,24
S22609613,22,22
S22887539,35,35
S17176358,18,18
S17176344,19,19
S17176275,16,16
S17176312,16,16
S22637230,21,21
S17837285,5,5
S16481947,5,5
S16825404,14,14
S22637226,13,13
S16213225,13,13
S33743283,39,39
S33737415,39,39
S40840927,39,39
S33613605,39,39
S27615703,24,24
S27617179,39,39
S79554009,16,16
S21067758,24,24
S16201919,13,13
S16213613,6,6
S27616333,17,17
S16201978,9,9
S16202039,12,12
S16390581,12,12
S16202071,13,13
S21094308,9,9
S16233316,22,22
S16529877,44,44
S79509747,23,23
S79341650,46,46
S17315300,14,14
S79547439,26,26
S17315038,14,14
S17315315,9,9
S79548329,15,15
S17315331,11,11
S17315029,11,11
S17315035,9,9
S17315040,8,8
S16233323,13,13
S79546293,2,2
S17315323,4,4
S17315031,4,4
S79339847,27,27
S16541968,23,23
S79508904,36,36
S17315034,2,2
S17315318,2,2
S79548815,18,18
S79511584,17,17
S93930512,13,13
S17315039,13,13
S17315320,8,8
S17315033,8,8
S17315311,3,3
S17315036,3,3
S17315030,11,11
S93930509,3,3
S79547813,14,14
S17315037,12,12
S17315327,11,11
S93879712,3,3
S93930511,3,3
S17315032,3,3
S79600746,21,21
S21291757,9,9
S62981973,36,36
S62980269,3,3
S16910554,45,45
S33743226,52,52
S17286152,14,14
S27617334,52,52
S51989751,22,22
S62982639,29,29
S33737421,52,52
S35368744,52,52
S33613604,52,52
S62970965,26,26
S51989037,19,19
S17018312,23,23
S51988465,22,22
S21294447,5,5
S21294400,7,7
S21294539,6,6
S24846056,17,17
S17211350,24,24
S16986714,36,36
S16993314,20,20
S24845997,20,20
S17016990,23,23
S16987373,23,23
S17029631,17,17
S17029499,29,29
S17030692,30,30
S17030203,25,25
S17024319,11,11
S17086718,8,8
S17022375,2,2
S17086070,6,6
S22654410,14,14
S24008200,20,20
S24008192,14,14
S22654408,20,20
S17061603,9,9
S17018081,5,5
S17186686,19,19
S16980184,16,16
S17017828,3,3
S16944926,9,9
S17208649,4,4
S17061740,10,10
S16977702,5,5
S17018751,7,7
S80057939,4,4
S17016654,6,6
S20362999,16,16
S20352822,16,16
S16990948,10,10
S16991180,10,10
S16775940,26,26
S62967369,10,10
S17083922,6,6
S20352846,12,12
S20363000,12,12
S17084045,8,8
S17084773,9,9
S17018103,8,8
S17018176,8,8
S27643280,15,15
S17018352,26,26
S16853379,29,29
S16853575,29,29
S27114448,16,16
S52584448,11,11
S16852778,19,19
S52553751,11,11
S51993318,20,20
S16853726,20,20
S52210724,38,38
S16852708,23,23
S51990384,14,14
S16987145,20,20
S52556384,14,14
S51994621,13,13
S52584444,14,14
S62966715,29,29
S51995001,14,14
S51992483,14,14
S52021924,18,18
S51012401,3,3
S51012690,4,4
S21623559,2,2
S51012240,6,6
S51012444,3,3
S51012368,1,1
S51012430,2,2
S51012725,1,1
S51012770,1,1
S16950438,1,1
S17474489,49,49
S17537389,49,49
S17955517,49,49
S21852916,49,49
S20511480,49,49
S17476065,48,48
S17487226,51,51
S17578430,9,9
S17560223,21,21
S17472358,49,49
S24864710,49,49
S17578759,21,21
S17578672,17,17
S17473895,52,52
S17590819,24,24
S17578637,21,21
S17587773,28,28
S17884715,6,6
S17543436,18,18
S17837241,6,6
S24640121,7,7
S21068607,4,4
S23971464,8,8
S68308047,6,6
S21027972,14,14
S17565782,13,13
S18282045,2,2
S68306364,1,1
S17255977,32,32
S17492345,25,25
S17663895,17,17
S17560233,13,13
S17455380,12,12
S17579848,19,19
S17659783,19,19
S17455315,15,15
S17511849,15,15
S17659774,20,20
S17578548,19,19
S17659761,14,14
S17637647,19,19
S17659773,14,14
S17659758,14,14
S17659823,14,14
S17463755,11,11
S17676575,14,14
S17663782,20,20
S19930175,15,15
S17473687,15,15
S17625988,19,19
S17625995,14,14
S17396713,9,9
S17676506,12,12
S17472413,4,4
S17660922,12,12
S17532540,16,16
S17565314,11,11
S17575243,14,14
