scientific_name,predictor,coefficient,se,order,common_name,eBird_spp_codes,Habitat.use,Habitat.type,Notes,HWI,Body.mass,Log.transformed.Body.Mass,TrophicLevel,TrophicNiche,Migration.1,Migration.2,Migration.3,Diet
Montecincla fairbanki,bio15a,10.1414455251079,2.73745644236898,Passeriformes,Palani Laughingthrush,kerlau2,FOR,Forest,forest bird,7.10243127,45.5,1.658011397,Omnivore,Invertivore,Not a Migrant,1,NA,invertebrates
Montecincla fairbanki,bio4a,20.715481644718,3.84291103773805,Passeriformes,Palani Laughingthrush,kerlau2,FOR,Forest,forest bird,7.10243127,45.5,1.658011397,Omnivore,Invertivore,Not a Migrant,1,NA,invertebrates
Culicicapa ceylonensis,bio15a,-1.51385264487675,0.661764565824551,Passeriformes,Gray-headed Canary-Flycatcher,gyhcaf1,FOR,Forest,forest bird,19.98883172,7.7,0.886490725,Carnivore,Invertivore,Not a Migrant,1,directional migratory,invertebrates
Culicicapa ceylonensis,bio4a,3.13633111808644,0.506294278391643,Passeriformes,Gray-headed Canary-Flycatcher,gyhcaf1,FOR,Forest,forest bird,19.98883172,7.7,0.886490725,Carnivore,Invertivore,Not a Migrant,1,directional migratory,invertebrates
Picus xanthopygaeus,bio15a,2.66258063428363,0.986628218528561,Piciformes,Streak-throated Woodpecker,sttwoo1,OC,Forest,"forest edges, but often open areas",22.34897824,99.7,1.998651596,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Hypsipetes ganeesa,bio15a,-2.47422345470696,0.62621030076778,Passeriformes,Square-tailed Bulbul,sqtbul1,FOR,Forest,forest habitats,23.27074798,42.9,1.632457292,Herbivore,Frugivore,NA,1,resident,NA
Hypsipetes ganeesa,bio4a,3.55058867311931,0.632993019284907,Passeriformes,Square-tailed Bulbul,sqtbul1,FOR,Forest,forest habitats,23.27074798,42.9,1.632457292,Herbivore,Frugivore,NA,1,resident,NA
Yungipicus nanus,bio4a,-2.2568483138194,0.598380494544941,Piciformes,Brown-capped Woodpecker,bncwoo3,OC,Forest,"open forest, forest edge",27.36251687,14,1.208172527,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Sitta frontalis,lc_01,3.25882085185133,0.475819469011108,Passeriformes,Velvet-fronted Nuthatch,vefnut1,FOR,Forest,forest bird,23.06378825,16.5,1.217483944,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Sitta frontalis,lc_03,-14.624534087632,7.35569636329395,Passeriformes,Velvet-fronted Nuthatch,vefnut1,FOR,Forest,forest bird,23.06378825,16.5,1.217483944,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Sitta frontalis,lc_04,-1.12873754658257,0.454899641688938,Passeriformes,Velvet-fronted Nuthatch,vefnut1,FOR,Forest,forest bird,23.06378825,16.5,1.217483944,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Irena puella,bio4a,-6.09640570999768,0.783005597795728,Passeriformes,Asian Fairy-bluebird,asfblu1,FOR,Forest,forest bird,23.21144279,64.9,1.812244697,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
Irena puella,lc_01,4.57131690917921,1.48981242440184,Passeriformes,Asian Fairy-bluebird,asfblu1,FOR,Forest,forest bird,23.21144279,64.9,1.812244697,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
