predictor,scientific_name
bio15a,Montecincla fairbanki
bio4a,Montecincla fairbanki
bio15a,Culicicapa ceylonensis
bio4a,Culicicapa ceylonensis
bio15a,Picus xanthopygaeus
bio15a,Hypsipetes ganeesa
bio4a,Hypsipetes ganeesa
bio4a,Yungipicus nanus
lc_01,Sitta frontalis
lc_03,Sitta frontalis
lc_04,Sitta frontalis
bio4a,Irena puella
lc_01,Irena puella
bio4a,Psilopogon malabaricus
bio4a,Pomatorhinus horsfieldii
lc_01,Pomatorhinus horsfieldii
bio15a,Leptocoma minima
bio4a,Leptocoma minima
lc_01,Leptocoma minima
bio15a,Merops leschenaulti
bio4a,Merops leschenaulti
lc_01,Merops leschenaulti
lc_05,Merops leschenaulti
bio4a,Pericrocotus cinnamomeus
lc_02,Pericrocotus cinnamomeus
lc_07,Pericrocotus cinnamomeus
bio4a,Upupa epops
lc_07,Upupa epops
bio4a,Lanius schach
lc_04,Lanius schach
lc_07,Lanius schach
bio4a,Psittacula columboides
lc_09,Psittacula columboides
bio15a,Gracula indica
bio4a,Gracula indica
bio4a,Myophonus horsfieldii
lc_01,Myophonus horsfieldii
lc_02,Myophonus horsfieldii
lc_07,Myophonus horsfieldii
bio4a,Pericrocotus flammeus
bio4a,Iole indica
bio4a,Motacilla cinerea
lc_01,Motacilla cinerea
bio4a,Lanius cristatus
lc_01,Lanius cristatus
lc_05,Lanius cristatus
bio15a,Zosterops palpebrosus
bio4a,Zosterops palpebrosus
lc_01,Zosterops palpebrosus
lc_02,Zosterops palpebrosus
bio4a,Hierococcyx varius
bio4a,Cinnyris lotenius
bio4a,Dicrurus leucophaeus
lc_05,Dicrurus leucophaeus
bio15a,Loriculus vernalis
bio4a,Loriculus vernalis
lc_01,Loriculus vernalis
bio15a,Pycnonotus luteolus
bio4a,Pycnonotus luteolus
bio4a,Aegithina tiphia
lc_09,Aegithina tiphia
bio15a,Passer domesticus
bio4a,Passer domesticus
bio15a,Saxicola caprata
bio4a,Saxicola caprata
lc_02,Saxicola caprata
lc_09,Motacilla maderaspatensis
bio15a,Psilopogon haemacephalus
bio4a,Psilopogon haemacephalus
lc_01,Psilopogon haemacephalus
lc_07,Psilopogon haemacephalus
bio4a,Acridotheres fuscus
lc_07,Acridotheres fuscus
bio15a,Pavo cristatus
bio4a,Pavo cristatus
lc_05,Pavo cristatus
bio4a,Acrocephalus dumetorum
lc_01,Acrocephalus dumetorum
bio4a,Dinopium benghalense
bio4a,Cinnyris asiaticus
lc_01,Merops orientalis
bio4a,Prinia socialis
lc_07,Prinia socialis
bio4a,Streptopelia chinensis
lc_04,Streptopelia chinensis
lc_05,Streptopelia chinensis
lc_07,Streptopelia chinensis
bio4a,Copsychus saularis
lc_07,Copsychus saularis
bio15a,Pycnonotus cafer
bio4a,Pycnonotus cafer
bio15a,Centropus sinensis
bio4a,Centropus sinensis
lc_05,Centropus sinensis
bio4a,Leptocoma zeylonica
lc_09,Leptocoma zeylonica
bio4a,Pycnonotus jocosus
lc_04,Pycnonotus jocosus
lc_07,Pycnonotus jocosus
bio15a,Psittacula krameri
lc_03,Psittacula krameri
bio4a,Dicrurus macrocercus
bio15a,Halcyon smyrnensis
bio4a,Halcyon smyrnensis
bio15a,Eudynamys scolopaceus
bio15a,Columba livia
lc_01,Columba livia
bio15a,Corvus macrorhynchos
lc_09,Corvus macrorhynchos
lc_01,Acridotheres tristis
lc_07,Acridotheres tristis
bio15a,Corvus splendens
lc_04,Corvus splendens
