predictor,habitat,effect,magnitude
bio15a,Forest,negative,-2
bio15a,Forest,positive,6
bio15a,Generalist,negative,-5
bio15a,Generalist,positive,8
bio4a,Forest,negative,-18
bio4a,Forest,positive,4
bio4a,Generalist,negative,-7
bio4a,Generalist,positive,14
lc_01,Forest,negative,0
lc_01,Forest,positive,8
lc_01,Generalist,negative,-4
lc_01,Generalist,positive,3
lc_02,Forest,negative,0
lc_02,Forest,positive,2
lc_02,Generalist,negative,-2
lc_02,Generalist,positive,0
lc_03,Forest,negative,-1
lc_03,Forest,positive,0
lc_03,Generalist,negative,0
lc_03,Generalist,positive,1
lc_04,Forest,negative,-1
lc_04,Forest,positive,0
lc_04,Generalist,negative,-2
lc_04,Generalist,positive,2
lc_05,Forest,negative,-3
lc_05,Forest,positive,0
lc_05,Generalist,negative,-3
lc_05,Generalist,positive,0
lc_07,Forest,negative,-1
lc_07,Forest,positive,1
lc_07,Generalist,negative,-2
lc_07,Generalist,positive,7
lc_09,Forest,negative,0
lc_09,Forest,positive,2
lc_09,Generalist,negative,0
lc_09,Generalist,positive,3
